## begin version 0.98 source file header             
## generated at 24## from output of MCNPX case mctal_1.3GalwD2O, described as:   
## mcnp       6.mpi 05/11/18 01:54:38    51        50000000  13067473735331
##  Debug                                                                          
## Pulse shapes are as calculated with point detector tally for moderator
## 
## headerend
##
## section 1 key
## output reported is for 10x12 viewed area.       
## normalized to  1.6006e+14 p/pulse and  1.300 GeV
## Energy given is center of the bin in a logarithmic
## sense, and wavelength is for that energy.         
## There are 141 points.
## 
##  Energy     Wavelength      Flux      Std. Error      Flux      Std. Error  
##    E             l          f(E)         s(E)         f(l)         s(l)
##    eV        Angstroms       n/sterad/pulse/eV         n/sterad/pulse/Angstrom  
##
  6.3096e-04   1.1386e+01   2.6409e+14   1.7502e+25   2.9270e+10   1.9398e+21
  7.0795e-04   1.0749e+01   2.8478e+14   1.9020e+25   3.7512e+10   2.5054e+21
  7.9433e-04   1.0148e+01   3.0612e+14   2.0584e+25   4.7924e+10   3.2226e+21
  8.9125e-04   9.5800e+00   3.2702e+14   2.2418e+25   6.0847e+10   4.1712e+21
  1.0000e-03   9.0441e+00   3.4935e+14   2.4930e+25   7.7255e+10   5.5130e+21
  1.1220e-03   8.5382e+00   3.7461e+14   2.7530e+25   9.8455e+10   7.2354e+21
  1.2589e-03   8.0606e+00   3.9629e+14   2.9722e+25   1.2379e+11   9.2842e+21
  1.4125e-03   7.6097e+00   4.1868e+14   3.0278e+25   1.5544e+11   1.1240e+22
  1.5849e-03   7.1840e+00   4.4108e+14   3.3020e+25   1.9462e+11   1.4570e+22
  1.7783e-03   6.7821e+00   4.6205e+14   3.4287e+25   2.4230e+11   1.7980e+22
  1.9953e-03   6.4027e+00   4.8303e+14   3.5777e+25   3.0105e+11   2.2298e+22
  2.2387e-03   6.0446e+00   5.0448e+14   3.7425e+25   3.7369e+11   2.7722e+22
  2.5119e-03   5.7065e+00   5.2473e+14   4.0045e+25   4.6195e+11   3.5254e+22
  2.8184e-03   5.3872e+00   5.4443e+14   4.0719e+25   5.6964e+11   4.2605e+22
  3.1623e-03   5.0859e+00   5.6283e+14   4.2884e+25   6.9991e+11   5.3328e+22
  3.5481e-03   4.8014e+00   5.7604e+14   4.3797e+25   8.5137e+11   6.4731e+22
  3.9811e-03   4.5328e+00   5.8545e+14   4.4641e+25   1.0284e+12   7.8416e+22
  4.4668e-03   4.2792e+00   5.8823e+14   4.4669e+25   1.2280e+12   9.3254e+22
  5.0119e-03   4.0399e+00   5.8909e+14   4.5000e+25   1.4617e+12   1.1165e+23
  5.6234e-03   3.8139e+00   5.8230e+14   4.4509e+25   1.7172e+12   1.3125e+23
  6.3096e-03   3.6005e+00   5.6805e+14   4.2981e+25   1.9909e+12   1.5064e+23
  7.0795e-03   3.3991e+00   5.5064e+14   4.1475e+25   2.2937e+12   1.7276e+23
  7.9433e-03   3.2090e+00   5.2875e+14   3.9307e+25   2.6177e+12   1.9460e+23
  8.9125e-03   3.0295e+00   5.0169e+14   3.6607e+25   2.9519e+12   2.1539e+23
  1.0000e-02   2.8600e+00   4.7569e+14   3.4271e+25   3.3265e+12   2.3965e+23
  1.1220e-02   2.7000e+00   4.4353e+14   3.1413e+25   3.6862e+12   2.6108e+23
  1.2589e-02   2.5490e+00   4.0550e+14   2.7868e+25   4.0055e+12   2.7527e+23
  1.4125e-02   2.4064e+00   3.4593e+14   2.2392e+25   4.0612e+12   2.6288e+23
  1.5849e-02   2.2718e+00   2.5902e+14   1.5036e+25   3.6140e+12   2.0980e+23
  1.7783e-02   2.1447e+00   1.8942e+14   9.8561e+24   3.1412e+12   1.6344e+23
  1.9953e-02   2.0247e+00   1.4086e+14   6.5391e+24   2.7762e+12   1.2888e+23
  2.2387e-02   1.9115e+00   1.0224e+14   4.2965e+24   2.3948e+12   1.0064e+23
  2.5119e-02   1.8045e+00   7.3360e+13   3.9311e+24   2.0423e+12   1.0944e+23
  2.8184e-02   1.7036e+00   5.3126e+13   1.8872e+24   1.7578e+12   6.2441e+22
  3.1623e-02   1.6083e+00   3.9270e+13   1.4346e+24   1.5443e+12   5.6414e+22
  3.5481e-02   1.5183e+00   2.9576e+13   9.2128e+23   1.3823e+12   4.3058e+22
  3.9811e-02   1.4334e+00   2.2990e+13   6.5696e+23   1.2770e+12   3.6492e+22
  4.4668e-02   1.3532e+00   1.8326e+13   4.9389e+23   1.2098e+12   3.2606e+22
  5.0119e-02   1.2775e+00   1.5085e+13   3.9763e+23   1.1836e+12   3.1199e+22
  5.6234e-02   1.2061e+00   1.2669e+13   3.3013e+23   1.1814e+12   3.0785e+22
  6.3096e-02   1.1386e+00   1.0796e+13   2.7474e+23   1.1965e+12   3.0450e+22
  7.0795e-02   1.0749e+00   9.3703e+12   2.8198e+23   1.2343e+12   3.7143e+22
  7.9433e-02   1.0148e+00   8.2342e+12   1.9483e+23   1.2891e+12   3.0502e+22
  8.9125e-02   9.5800e-01   7.3362e+12   1.7939e+23   1.3650e+12   3.3378e+22
  1.0000e-01   9.0441e-01   6.6004e+12   1.5817e+23   1.4596e+12   3.4978e+22
  1.1220e-01   8.5382e-01   6.0714e+12   3.5672e+23   1.5957e+12   9.3754e+22
  1.2589e-01   8.0606e-01   5.4791e+12   1.3689e+23   1.7115e+12   4.2759e+22
  1.4125e-01   7.6097e-01   4.9828e+12   1.2524e+23   1.8499e+12   4.6497e+22
  1.5849e-01   7.1840e-01   4.4502e+12   1.3211e+23   1.9636e+12   5.8293e+22
  1.7783e-01   6.7821e-01   3.8970e+12   9.5388e+22   2.0436e+12   5.0022e+22
  1.9953e-01   6.4027e-01   3.3370e+12   7.1941e+22   2.0798e+12   4.4837e+22
  2.2387e-01   6.0446e-01   2.8292e+12   6.0171e+22   2.0957e+12   4.4571e+22
  2.5119e-01   5.7064e-01   2.4004e+12   4.7227e+22   2.1132e+12   4.1577e+22
  2.8184e-01   5.3872e-01   2.0726e+12   3.6647e+22   2.1686e+12   3.8345e+22
  3.1623e-01   5.0859e-01   1.8552e+12   3.6209e+22   2.3071e+12   4.5028e+22
  3.5481e-01   4.8014e-01   1.6730e+12   2.5594e+22   2.4727e+12   3.7826e+22
  3.9811e-01   4.5328e-01   1.4930e+12   2.0999e+22   2.6225e+12   3.6886e+22
  4.4668e-01   4.2792e-01   1.4300e+12   1.6918e+22   2.9854e+12   3.5319e+22
  5.0119e-01   4.0399e-01   1.4403e+12   1.6880e+22   3.5737e+12   4.1884e+22
  5.6234e-01   3.8139e-01   1.2881e+12   1.4223e+22   3.7984e+12   4.1944e+22
  6.3096e-01   3.6005e-01   1.1390e+12   1.1506e+22   3.9920e+12   4.0326e+22
  7.0795e-01   3.3991e-01   1.0165e+12   9.6790e+21   4.2341e+12   4.0317e+22
  7.9433e-01   3.2090e-01   9.0118e+11   7.9104e+21   4.4614e+12   3.9162e+22
  8.9125e-01   3.0295e-01   7.9833e+11   6.6599e+21   4.6973e+12   3.9186e+22
  1.0000e+00   2.8600e-01   7.0898e+11   5.5259e+21   4.9579e+12   3.8642e+22
  1.1220e+00   2.7000e-01   6.3091e+11   4.5952e+21   5.2436e+12   3.8192e+22
  1.2589e+00   2.5490e-01   5.6453e+11   3.8506e+21   5.5764e+12   3.8036e+22
  1.4125e+00   2.4064e-01   5.0031e+11   3.1744e+21   5.8735e+12   3.7267e+22
  1.5849e+00   2.2718e-01   4.4528e+11   2.7112e+21   6.2130e+12   3.7830e+22
  1.7783e+00   2.1447e-01   3.9664e+11   2.2231e+21   6.5776e+12   3.6865e+22
  1.9953e+00   2.0247e-01   3.5145e+11   1.8392e+21   6.9268e+12   3.6248e+22
  2.2387e+00   1.9115e-01   3.1512e+11   1.5674e+21   7.3814e+12   3.6716e+22
  2.5119e+00   1.8045e-01   2.7992e+11   1.3757e+21   7.7929e+12   3.8298e+22
  2.8184e+00   1.7036e-01   2.4870e+11   1.0833e+21   8.2290e+12   3.5845e+22
  3.1623e+00   1.6083e-01   2.2226e+11   9.1358e+20   8.7403e+12   3.5926e+22
  3.5481e+00   1.5183e-01   1.9819e+11   7.6210e+20   9.2628e+12   3.5618e+22
  3.9811e+00   1.4334e-01   1.7576e+11   6.3109e+20   9.7629e+12   3.5056e+22
  4.4668e+00   1.3532e-01   1.5652e+11   5.3850e+20   1.0333e+13   3.5550e+22
  5.0119e+00   1.2775e-01   1.3936e+11   4.4053e+20   1.0935e+13   3.4565e+22
  5.6234e+00   1.2061e-01   1.2462e+11   3.7142e+20   1.1621e+13   3.4636e+22
  6.3096e+00   1.1386e-01   1.1130e+11   3.1541e+20   1.2336e+13   3.4958e+22
  7.0795e+00   1.0749e-01   9.9080e+10   2.6086e+20   1.3051e+13   3.4362e+22
  7.9433e+00   1.0148e-01   8.7666e+10   2.1593e+20   1.3724e+13   3.3805e+22
  8.9125e+00   9.5800e-02   7.8329e+10   1.8386e+20   1.4574e+13   3.4210e+22
  1.0000e+01   9.0441e-02   6.9821e+10   1.5136e+20   1.5440e+13   3.3472e+22
  1.1220e+01   8.5382e-02   6.2204e+10   1.2742e+20   1.6349e+13   3.3490e+22
  1.2589e+01   8.0606e-02   5.5266e+10   1.0587e+20   1.7263e+13   3.3070e+22
  1.4125e+01   7.6097e-02   4.9406e+10   8.9161e+19   1.8342e+13   3.3101e+22
  1.5849e+01   7.1840e-02   4.3905e+10   7.4111e+19   1.9372e+13   3.2700e+22
  1.7783e+01   6.7821e-02   3.8794e+10   6.1189e+19   2.0344e+13   3.2088e+22
  1.9953e+01   6.4027e-02   3.4811e+10   5.1941e+19   2.1696e+13   3.2372e+22
  2.2387e+01   6.0446e-02   3.0946e+10   4.3154e+19   2.2922e+13   3.1966e+22
  2.5119e+01   5.7065e-02   2.7716e+10   3.6479e+19   2.4401e+13   3.2115e+22
  2.8184e+01   5.3872e-02   2.4454e+10   3.0105e+19   2.5586e+13   3.1499e+22
  3.1623e+01   5.0859e-02   2.1865e+10   2.5258e+19   2.7190e+13   3.1410e+22
  3.5481e+01   4.8014e-02   1.9397e+10   2.0840e+19   2.8668e+13   3.0801e+22
  3.9811e+01   4.5328e-02   1.7232e+10   1.7353e+19   3.0270e+13   3.0482e+22
  4.4668e+01   4.2792e-02   1.5428e+10   1.4662e+19   3.2208e+13   3.0609e+22
  5.0119e+01   4.0399e-02   1.3704e+10   1.2196e+19   3.4003e+13   3.0261e+22
  5.6234e+01   3.8139e-02   1.2137e+10   1.0039e+19   3.5791e+13   2.9603e+22
  6.3096e+01   3.6005e-02   1.0801e+10   8.3867e+18   3.7856e+13   2.9394e+22
  7.0795e+01   3.3991e-02   9.6472e+09   7.0458e+18   4.0185e+13   2.9349e+22
  7.9433e+01   3.2090e-02   8.5596e+09   5.8676e+18   4.2376e+13   2.9049e+22
  8.9125e+01   3.0295e-02   7.6179e+09   4.8684e+18   4.4823e+13   2.8645e+22
  1.0000e+02   2.8600e-02   6.7465e+09   4.0250e+18   4.7178e+13   2.8147e+22




## section1end
##
## section 2 key
## There are 141  energy bands, each with  184  time bins.
## Emission    Energy of   Brightness    std. error  
##   Time      bin center (n/sterad(p)/   (n/sterad(p)/  
##   (us)         (eV)     pulse/us/eV)  pulse/us/eV)
  1.0330e-01   1.0000e-05   0.0000e+00   0.0000e+00 
  1.1013e-01   1.0000e-05   0.0000e+00   0.0000e+00 
  1.1740e-01   1.0000e-05   0.0000e+00   0.0000e+00 
  1.2515e-01   1.0000e-05   0.0000e+00   0.0000e+00 
  1.3342e-01   1.0000e-05   0.0000e+00   0.0000e+00 
  1.4223e-01   1.0000e-05   0.0000e+00   0.0000e+00 
  1.5163e-01   1.0000e-05   0.0000e+00   0.0000e+00 
  1.6164e-01   1.0000e-05   0.0000e+00   0.0000e+00 
